id,name,address,city,zip,longitude,latitude,population
57,Weimar Elementary School,515 West Main,Missouri City,77489,-96.78778,29.70313,5431
58,Marshall High School,1220 Buffalo Run,Katy,77494,-95.516014,29.596601,41745
59,Seven Lakes High School (Katy ISD),9251 S Fry Road,Houston,77053,-95.810176,29.753968,122896
60,Willowridge High School,16301 Chimney Rock,Missouri City,77459,-95.4802535,29.5861474,51484
61,Hightower High School,3333 Hurricane Lane,Missouri City,77459,-95.49733719,29.53503607,53635
62,Elkins High School,7007 Knights Ct.,Richmond,77469,-95.55788373,29.54449962,31362
63,Foster High School,4400 FM 723,Richmond,77469,-95.8101,29.627191,36996
64,Bush High School,6707 FM 1464,Rosenberg,77471,-95.685521,29.70551,72688
65,B.F. Terry High School,5500 Ave. N,Sugar Land,77478,-95.852714,29.55237,42335
66,Austin High School,3434 Pheasant Creek,Sugar Land,77478,-95.67380624,29.63857292,29005
67,Kempner High School,14777 Voss Rd.,Sugar Land,77478,-95.64596,29.643355,49668
68,Dulles High School,550 Dulles Ave.,Sugar Land,77479,-95.584205,29.620263,46661
69,Clements High School,4200 Elkins Dr.,Rosenberg,77471,-95.6314617,29.5763466,86299
70,Lamar Consolidated High School,4606 Mustang Ave,Needville,77461,-95.2320941,29.3732622,9081
71,Needville High School,16227 Highway 36 South,Richmond,77469,-95.817313,29.394555,17040
72,William Travis High School,11111 Harlem Road,Katy,77494,-95.71651551,29.65175647,70978
73,Merrel Center,6301 S Stadium Lane,Missouri City,77459,-95.83041952,29.78103801,14698
74,Ridge Point High School,500 Waters Lake Blvd.,Texas City,77591,-95.5170399,29.4838433,28206
75,Coastal POD,9850 EF Lowry Expway,Galveston,77550,-95.017211,29.403507,62350
76,Tornado POD,4116 Ave N 1/2,High Island,77623,-94.809867,29.284177,50844
77,Cardinal POD,2113 Sixth St,Santa Fe,77510,-94.392234,29.562349,615
78,Indian POD,1600 Hwy 6,League City,77573,-94.915211,29.39327,45734
79,Wildcat POD,2305 East Main St.,Friendswood,77546,-95.073115,29.526697,127226
80,Mustang POD,506 W. Edgewood,Silsbee,77656,-95.213207,29.528723,41755
81,Silsbee Middle School,1140 Hwy 327 East,Saratoga,77585,-94.189246,30.319984,18190
82,West Hardin High School,392227 Hwy 105,Kountze,77625,-94.559529,30.358816,8048
83,Kountze High School,1488 FM 1293 Rd,Lumberton,77657,-94.284907,30.3139,11173
